# Version 1.00
#
# Ref Impedances: Z01: 50, Z02: 50
# 
freq[Hz]	db:Mem19[Trc9]_S21	ang:Mem19[Trc9]_S21	
6.475747500344028E+005	-3.272091838397253E+001	-1.509685679121318E+001	
6.494807284472471E+005	-3.273476174285656E+001	-1.622237357423537E+001	
6.513923166429157E+005	-3.280335421831239E+001	-1.731445725388629E+001	
6.533095311324369E+005	-3.286824543672405E+001	-1.849900049012177E+001	
6.552323884754351E+005	-3.295505565678401E+001	-1.963390384485987E+001	
6.571609052802738E+005	-3.303046481404323E+001	-2.092014215766555E+001	
6.590950982041993E+005	-3.311474131214595E+001	-2.212423819979743E+001	
6.610349839534846E+005	-3.321256307369049E+001	-2.320268316407807E+001	
6.629805792835731E+005	-3.329699464412260E+001	-2.453421700116676E+001	
6.649319009992242E+005	-3.341277546493992E+001	-2.589520148299030E+001	
6.668889659546578E+005	-3.349939367188021E+001	-2.713936021658911E+001	
6.688517910537001E+005	-3.360259377103453E+001	-2.861950939357315E+001	
6.708203932499298E+005	-3.373849470636885E+001	-2.991758570957203E+001	
6.727947895468239E+005	-3.381312723578854E+001	-3.138336872673690E+001	
6.747749969979054E+005	-3.392870867114843E+001	-3.301449213729954E+001	
6.767610327068900E+005	-3.407907056387271E+001	-3.445778103135536E+001	
6.787529138278340E+005	-3.420015479331830E+001	-3.582428379711465E+001	
6.807506575652824E+005	-3.432100152152663E+001	-3.747589962396233E+001	
6.827542811744179E+005	-3.444700041700534E+001	-3.950768157246334E+001	
6.847638019612094E+005	-3.465498750436777E+001	-4.115977531091455E+001	
6.867792372825617E+005	-3.479707091845073E+001	-4.275775820081675E+001	
6.888006045464656E+005	-3.497636023324688E+001	-4.446680569202274E+001	
6.908279212121477E+005	-3.506003395539884E+001	-4.622341703509799E+001	
6.928612047902219E+005	-3.520708746250848E+001	-4.838606374793613E+001	
6.949004728428401E+005	-3.537990687576229E+001	-5.040822304460941E+001	
6.969457429838445E+005	-3.555008991085266E+001	-5.261868945960616E+001	
6.989970328789189E+005	-3.572304890819716E+001	-5.487694342785382E+001	
7.010543602457420E+005	-3.589734888764617E+001	-5.741268514576847E+001	
7.031177428541401E+005	-3.614797053861180E+001	-5.975081010000891E+001	
7.051871985262407E+005	-3.628506400378894E+001	-6.212252077757881E+001	
7.072627451366262E+005	-3.648090712513325E+001	-6.498923337299834E+001	
7.093444006124886E+005	-3.669782199181859E+001	-6.790010735072733E+001	
7.114321829337844E+005	-3.693854279468528E+001	-7.057390728335894E+001	
7.135261101333895E+005	-3.712594199689109E+001	-7.360841546368648E+001	
7.156262002972551E+005	-3.735769069610291E+001	-7.679453257557222E+001	
7.177324715645642E+005	-3.764713887379419E+001	-7.980204373386965E+001	
7.198449421278880E+005	-3.784515795388531E+001	-8.353549704482337E+001	
7.219636302333430E+005	-3.808800790855101E+001	-8.718747220003083E+001	
7.240885541807488E+005	-3.830596472345111E+001	-9.098664605211404E+001	
7.262197323237860E+005	-3.855516714511487E+001	-9.470177744213375E+001	
7.283571830701549E+005	-3.871713134626525E+001	-9.839460694831404E+001	
7.305009248817342E+005	-3.887486336521333E+001	-1.026378856224187E+002	
7.326509762747408E+005	-3.910351392612657E+001	-1.075278279821359E+002	
